identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
4249,NORDESTE,38,metropolitano,masculino,parda,quarta série fundamental completa,não sabe,não sabe,600,600,4,1,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,afrobrasileiras,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,discorda total,discorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total
4250,NORDESTE,57,urbano,feminino,branca,médio completo,quarta série fundamental incompleta,médio completo,600,600,2,1,prioritário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,evangélica,discorda total,ns,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,concorda total,concorda total,discorda parcial,concorda total,concorda total
4251,NORDESTE,43,metropolitano,feminino,branca,quinta série fundamental,não sabe,não sabe,1000,1500,3,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,ns,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,concorda total,discorda total,discorda total,concorda total,discorda total,discorda total,concorda total
4257,NORDESTE,34,metropolitano,feminino,parda,médio completo,quarta série fundamental incompleta,quarta série fundamental incompleta,1000,1800,2,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,neutro,concorda total,concorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda total,discorda total,discorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda total
4259,NORDESTE,58,metropolitano,feminino,preta,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,,,2,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,católica,concorda total,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,discorda parcial,discorda total,discorda total,concorda parcial,discorda parcial,concorda total,concorda parcial,discorda total,concorda total,discorda parcial,concorda total,concorda total,discorda total,concorda total,discorda parcial
4260,NORDESTE,70,urbano,feminino,parda,primeira série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,678,1300,6,2,prioritário,prioritário,prioritário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda parcial,concorda total,concorda parcial,discorda total,discorda parcial,concorda total,concorda total,concorda total,concorda parcial,discorda total,concorda total,discorda parcial,discorda total,discorda total,discorda parcial,concorda total
4263,NORDESTE,28,metropolitano,feminino,parda,segunda série médio,não sabe,não sabe,850,1400,2,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,discorda parcial,concorda total,concorda parcial,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda parcial,concorda total,concorda total,discorda total,discorda parcial,concorda total
4267,NORDESTE,18,metropolitano,feminino,branca,terceira série médio incompleto,superior completo,segunda série médio,678,5000,3,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda parcial,concorda total,discorda total,discorda parcial,concorda total,concorda total,concorda total,concorda total,discorda parcial,concorda total,concorda total,discorda parcial,discorda total,discorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda parcial,concorda total,discorda parcial
4271,NORDESTE,56,urbano,feminino,parda,fundamental completa,não sabe,segunda série fundamental,400,1000,5,1,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,evangélica,discorda total,ns,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda total
4277,NORDESTE,69,metropolitano,feminino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,678,1500,5,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda parcial,neutro,discorda parcial,concorda total,concorda total,concorda total,concorda parcial,discorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,concorda total,discorda total,discorda parcial,concorda total
4280,NORDESTE,37,urbano,feminino,parda,quarta série fundamental completa,não sabe,não sabe,700,1000,3,1,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,católica,concorda total,concorda total,discorda total,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total
4288,NORDESTE,31,urbano,feminino,parda,sexta série fundamental,segunda série fundamental,primeira série fundamental,,1500,4,2,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,secundário,prioritário,prioritário,evangélica,discorda total,ns,discorda total,concorda total,discorda parcial,concorda total,concorda total,concorda total,concorda parcial,discorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,discorda total,concorda total,discorda parcial,discorda total,concorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total
